year,name,price,brand
2019,Nike Air Max 720,180,nike
2019,Nike Air Max 270,150,nike
2019,Nike Air VaporMax 2019,190,nike
2019,Nike Air VaporMax Utility,190,nike
2019,Nike Air Max 720,180,nike
2019,Jordan Proto-Max 720,200,nike
2019,Nike Air VaporMax Flyknit 3,190,nike
2019,Nike Air VaporMax 2019,190,nike
2019,Kyrie 5,130,nike
2019,PG 3,110,nike
2019,LeBron 16 Low,160,nike
2019,Air Jordan 13 Retro,190,nike
2019,Air Jordan 1 Mid SE,120,nike
2019,Jordan Proto-React,150,nike
2019,Nike Epic React Flyknit 2,150,nike
2019,Nike React Element 55,130,nike
2019,Nike ISPA React WR,160,nike
2019,Nike Air VaporMax Plus,190,nike
2019,Nike Air Max 95 Premium,170,nike
2019,Nike Air Max 97 ND,170,nike
2019,Nike Air Max 270,150,nike
2019,Nike Vaporfly 4% Flyknit,250,nike
2019,Nike Zoom Pegasus Turbo,134.97,nike
2019,Air Jordan 9 Retro,190,nike
2019,Air Jordan 4 Retro,190,nike
2019,Nike Air Max 1,110,nike
2019,Nike Air Max 1 Premium By You,150,nike
2019,Nike Air Max 97,135.97,nike
2019,Nike Air Max 97 By You,190,nike
2019,Nike Air Zoom Pegasus 35,120,nike
2019,Nike Metcon 4 XD,130,nike
2019,Nike Zoom Fly Flyknit,160,nike
2019,Nike Odyssey React Flyknit 2,89.97,nike
2019,Nike Air Force 1 '07,90,nike
2019,Nike Air Force 1 Utility,145,nike
2019,Nike Air Force 1 '07 Premium 3,130,nike
2019,Nike Air Force 1 '07 LV8 1,100,nike
2019,Nike Air Max 90 Essential,81.97,nike
2019,Nike Air Max 90 By You,130,nike
2019,Nike Air Max 95 OG,160,nike
2019,Nike Air Max 95 By You,180,nike
2019,Nike Air Max 95 ND,170,nike
2019,Nike Air Max Deluxe,180,nike
2019,Nike Air VaporMax Flyknit 2 Random,200,nike
2019,Nike Air VaporMax Flyknit 2,190,nike
2019,Nike Air Max 98,170,nike
2019,Nike Air Max 98,160,nike
2019,Nike Air Max2 Light,140,nike
2019,Nike Air Tailwind 79,90,nike
2019,Nike Metcon Flyknit 3,150,nike
2019,Nike Free TR 8,100,nike
2019,Nike Air Max 720 SATRN,200,nike
2019,Nike SB Zoom Janoski Mid Crafted,100,nike
2019,Air Jordan XXXIII,175,nike
2019,LeBron 16,185,nike
2019,Kyrie 5 x ROKIT All Star,140,nike
2019,"Jordan ""Why Not?"" Zer0.2 SP",125,nike
2019,Nike SB Air Max Janoski 2,110,nike
2019,Nike SB Air Max Janoski 2 Premium,120,nike
2019,Nike SB Zoom Stefan Janoski Canvas Premium,90,nike
2020,Nike Air Max 2090,150,nike
2020,Nike Air Max 2090,170,nike
2020,Air Jordan 4 Retro SE,225,nike
2020,Air Jordan 3 Retro SE,200,nike
2020,Air Jordan 1 Low,90,nike
2020,Air Jordan 1 Mid,115,nike
2020,Nike Air VaporMax Plus (Chicago),200,nike
2020,Nike Air Max 90,120,nike
2020,LeBron 17 Low,160,nike
2020,LeBron 17,200,nike
2020,Nike SuperRep Go,100,nike
2020,Nike Air Zoom SuperRep,120,nike
2020,Nike React Infinity Run Flyknit,160,nike
2020,Nike Zoom Pegasus Turbo 2,180,nike
2020,Nike Air Force 1 '07,90,nike
2020,Nike Air Force 1 Type-2,140,nike
2020,Nike Air Force 1 '07,90,nike
2020,Kyrie 6,130,nike
2020,PG 4,110,nike
2020,Zoom Freak 1,120,nike
2021,Nike Air VaporMax Evo,260,nike
2021,Nike Air Max 95 EOI,235,nike
2021,LeBron 18 'White/Black/Gold',260,nike
2021,Kyrie 7 'Brooklyn Beats',170,nike
2021,Nike Air Max 2090,180,nike
2021,Nike Space Hippie 04,170,nike
2021,Nike Air Max 97 EOI,235,nike
2021,Nike React Vision,185,nike
2021,Nike Air Max Plus EOI,225,nike
2021,Nike Air Max SC,100,nike
2021,Nike Air Max Bolt,115,nike
2021,Nike Air Max Tailwind V SP,225,nike
2021,Nike Air Force 1 '07,135,nike
2021,Nike Air Max Plus,225,nike
